#,Done,Line,Section,Words saved,Why,FIND (old text),REPLACE WITH (new text)
1,,106,Roadmap (I),27,"Signposting, not argument","The remainder of this paper is organized as follows. Section~\ref{sec:related} rates related work on a scored rubric. Section~\ref{sec:background} describes the threat model and the background this work extends. Section~\ref{sec:model} formalizes the 5D H-NGAC decision function. Section~\ref{sec:arch} renders the model into a pipelined hardware architecture and derives its determinism. Section~\ref{sec:method} details the experimental method and its honesty rules. Section~\ref{sec:results} reports results. Section~\ref{sec:limitations} bounds our claims, and Section~\ref{sec:conclusion} concludes.","The remainder of this paper is organized as follows. Section~\ref{sec:related} scores related work. Section~\ref{sec:background} gives the threat model. Section~\ref{sec:model} defines the 5D decision function and Section~\ref{sec:arch} renders it into hardware. Section~\ref{sec:method} covers method, Section~\ref{sec:results} results, Section~\ref{sec:limitations} limitations, and Section~\ref{sec:conclusion} concludes."
2,,111,II Related Work,23,"105-word sentence, 4 semicolons -> 5 sentences","We rate prior work on four axes, each an integer score $x \in \mathbb{Z},\ 0 \le x \le 5$: per-decision latency evidence ($\mathit{pdl}$), where 5 requires cycle-accurate per-decision measurement; worst-case boundedness ($\mathit{wcb}$), where 5 requires a closed-form bound verified at every measured point; enforcement dimensionality beyond the identity triple ($\mathit{dim}$), where 3 denotes one added runtime dimension and 5 denotes both state and provenance; and hardware validation ($\mathit{hwv}$), where 5 requires cycle-accurate co-simulation plus silicon functional verification. Table~\ref{tab:rubric} scores each line of prior work under these definitions. The paragraphs below justify the scores that matter most, and they concede three genuine ancestors plainly.","We score prior work on four axes, each an integer $x \in \mathbb{Z},\ 0 \le x \le 5$. Per-decision latency evidence ($\mathit{pdl}$): 5 requires cycle-accurate per-decision measurement. Worst-case boundedness ($\mathit{wcb}$): 5 requires a closed-form bound verified at every measured point. Dimensionality beyond the identity triple ($\mathit{dim}$): 3 is one added runtime dimension, 5 is both state and provenance. Hardware validation ($\mathit{hwv}$): 5 requires cycle-accurate co-simulation plus silicon verification. Table~\ref{tab:rubric} applies these definitions. The paragraphs below justify the scores that matter."
3,,155,II Related Work,31,Nested apposition; survey cite folded into cite group,"The NGAC standard and the Policy Machine define the model we compile but report no per-decision latency evidence \cite{incits565, ferraiolo2011policymachine, hu2014sp800162}, and NGAC's decision and review advantages over XACML are established in the standards comparison of Ferraiolo et al.\ \cite{ferraiolo2016xacml}. NGAC implementations to date are software, including NIST's own fine-grain enforcement over database queries \cite{ferraiolo2017database}, and the strongest software NGAC decision result is the linear-time graph algorithms of Mell et al.\ \cite{mell2017linear}. That is the right software bound, and it is still a per-decision traversal whose constant depends on the host. XEngine compiles XACML into numeric structures offline and speeds decisions by orders of magnitude \cite{liu2011xengine}, the closest software analogue of our compilation step, but its decision latency still varies with policy and request shape. Servos and Osborn's survey lists ABAC decision performance among the field's open problems \cite{servos2017abac}, and reported measurements place OPA and an XACML PDP three to five orders of magnitude above the closed-form bound we derive in Section~\ref{sec:arch} \cite{opa, karim2026tsngac, oasisxacml}.","The NGAC standard and the Policy Machine define the model we compile, but report no per-decision latency \cite{incits565, ferraiolo2011policymachine, hu2014sp800162}. Ferraiolo et al.\ establish NGAC's decision and review advantages over XACML \cite{ferraiolo2016xacml}, and every NGAC implementation to date is software, including NIST's fine-grain enforcement over database queries \cite{ferraiolo2017database}. The strongest software decision result is the linear-time graph algorithm of Mell et al.\ \cite{mell2017linear}. That is the right software bound, and it is still a per-decision traversal whose constant depends on the host. XEngine is the closest software analogue of our compilation step. It compiles XACML into numeric structures offline, but its decision latency still varies with policy and request shape \cite{liu2011xengine}. Reported measurements place OPA and an XACML PDP three to five orders of magnitude above the bound derived in Section~\ref{sec:arch} \cite{opa, karim2026tsngac, oasisxacml, servos2017abac}."
4,,157,II Related Work,12,'we cite them as such' = self-congratulation,"\textbf{Hardware enforcement.} This literature holds three genuine ancestors, and we cite them as such. Huffmire et al.\ compiled a formally specified memory-isolation policy directly into an FPGA reference monitor in 2006 \cite{huffmire2006policy}, and Fiorin et al.\ placed access-rights checks into NoC interfaces with no added latency on the authorized path \cite{fiorin2008secure}. Both make enforcement latency a property of a synthesized circuit. Neither evaluates a relational policy model, and neither analyzes what an added policy dimension costs. The third concession is packet classification: TCAM and bit-vector engines match wide multi-field keys at deterministic rates \cite{song2005bvtcam}, and the StrideBV line advertises latency independent of ruleset content \cite{ganegedara2014scalable}. However, StrideBV latency grows linearly with match-key width. That is, in the closest deterministic prior art, added dimensions are precisely not free in time, which is the axis this paper claims. Aker wraps SoC controllers in verified access-control hardware at the bus-transaction level \cite{restuccia2021aker}, and CHERI enforces per-instruction memory capabilities in silicon \cite{watson2015cheri}. Both police a lower layer than a policy model.","\textbf{Hardware enforcement.} Three lines of work are direct ancestors. Huffmire et al.\ compiled a formally specified memory-isolation policy into an FPGA reference monitor in 2006 \cite{huffmire2006policy}, and Fiorin et al.\ put access-rights checks into NoC interfaces with no added latency on the authorized path \cite{fiorin2008secure}. Both make enforcement latency a property of a synthesized circuit. Neither evaluates a relational policy model, and neither measures what an added policy dimension costs. The third is packet classification. TCAM and bit-vector engines match wide multi-field keys at deterministic rates \cite{song2005bvtcam}, and StrideBV advertises latency independent of ruleset content \cite{ganegedara2014scalable}. However, StrideBV latency grows linearly with match-key width. In the closest deterministic prior art, added dimensions are not free in time, which is the axis this paper claims. Aker wraps SoC controllers in verified access-control hardware at the bus-transaction level \cite{restuccia2021aker}, and CHERI enforces per-instruction memory capabilities in silicon \cite{watson2015cheri}. Both police a lower layer than a policy model."
5,,159,II Related Work,6,Trailing-participle pileup (GenAI marker),"\textbf{Real-time and robot security.} The real-time security literature schedules software enforcement around deadlines: Contego slots security tasks into scheduling slack \cite{hasan2017contego}, and the 2024 SoK catalogs the paradigm \cite{hasan2024sok}. We exit that paradigm rather than optimize within it, since a fabric decision consumes no CPU slack at all. Pinisetty et al.\ synthesize runtime enforcers from timed automata for reactive CPS \cite{pinisetty2017runtime}, the nearest formal-synthesis neighbor, targeting safety properties rather than authorization and offering no hardware latency model. In robotics, Dieber et al.\ argued for application-layer authorization above transport crypto with identity-based decisions \cite{dieber2017security}, ROS-Defender filters node flows at the network layer \cite{rivera2019rosdefender}, and Salimi et al.\ condition per-request ABAC decisions on task and capability attributes through a blockchain bridge \cite{salimi2025abac}. None conditions a command on its source type or the platform's runtime safety state, and none is an inline bounded-latency primitive.","\textbf{Real-time and robot security.} This literature schedules software enforcement around deadlines. Contego slots security tasks into scheduling slack \cite{hasan2017contego}, and a 2024 SoK catalogs the paradigm \cite{hasan2024sok}. We leave that paradigm rather than optimize within it, because a fabric decision consumes no CPU slack. Pinisetty et al.\ synthesize runtime enforcers from timed automata for reactive CPS \cite{pinisetty2017runtime}. That is the nearest formal-synthesis neighbor, and it targets safety properties rather than authorization with no hardware latency model. In robotics, Dieber et al.\ argued for application-layer authorization above transport crypto \cite{dieber2017security}, ROS-Defender filters node flows at the network layer \cite{rivera2019rosdefender}, and Salimi et al.\ condition ABAC decisions on task and capability attributes through a blockchain bridge \cite{salimi2025abac}. None conditions a command on its source type or the platform's runtime state, and none is an inline bounded-latency primitive."
6,,161,II Related Work,16,60-word opener; claim before justification,"Since this work measures cycle-accurate per-decision latency, verifies a closed-form bound at every measured point, enforces both state and provenance, and validates through co-simulation, silicon functional verification, \new{and a hardware-latched on-board cycle capture that tracks co-simulation to a constant offset}, we assign it the maximum on all four axes under the definitions above, and Section~\ref{sec:results} supplies the evidence for that row. We state the novelty claim in its bounded form. Constant-latency wide-key matching exists in TCAMs, deterministic classification exists in the bit-vector family, and policy-to-circuit compilation dates to 2006. To our knowledge, no prior work compiles a standardized relational authorization model to hardware and demonstrates, on identical toolflow and part, that added policy dimensions cost zero clock cycles, and no prior hardware implementation of NGAC exists at all. We invite correction on both points.","This work scores the maximum on all four axes, and Section~\ref{sec:results} supplies the evidence for that row. It measures cycle-accurate per-decision latency, verifies a closed-form bound at every measured point, enforces both state and provenance, and validates by co-simulation, silicon functional verification\new{, and a hardware-latched on-board cycle capture that tracks co-simulation to a constant offset}. The novelty claim is bounded. Constant-latency wide-key matching exists in TCAMs, deterministic classification exists in the bit-vector family, and policy-to-circuit compilation dates to 2006. To our knowledge, no prior work compiles a standardized relational authorization model to hardware and shows, on one toolflow and part, that added policy dimensions cost zero clock cycles, and no hardware implementation of NGAC exists at all."
7,,168,III-A Background,7,Balanced-antithesis pose -> mechanism,"NGAC, standardized as INCITS 565, expresses policy as a directed graph of users, objects and attributes, and answers an access query by reachability traversal \cite{incits565, ferraiolo2011policymachine}. The generality is valuable and the traversal is the cost. H-NGAC compiles the policy graph ahead of time into fixed-width bitmasks so the runtime decision is a chain of AND operations over precomputed sets \cite{karim2026dcas}. We refer to the traversal-based reference model as DAG-NGAC throughout. This paper extends H-NGAC and inherits its compilation step unchanged.","NGAC, standardized as INCITS 565, expresses policy as a directed graph of users, objects and attributes, and answers a query by reachability traversal \cite{incits565, ferraiolo2011policymachine}. That generality costs a traversal on every decision. H-NGAC compiles the graph ahead of time into fixed-width bitmasks, so the runtime decision is a chain of AND operations over precomputed sets \cite{karim2026dcas}. We call the traversal-based reference model DAG-NGAC. This paper extends H-NGAC and inherits its compilation step unchanged."
8,,174,III-B Attack cls,3,Trailing clause tightened,"\textbf{Unauthorized access.} The attacker acts as an unprivileged agent or through a hijacked session (CVE-2022-45789, Schneider Electric Modicon \cite{cve202245789}). The identity triple closes this class, and it is the class every access control model addresses.","\textbf{Unauthorized access.} The attacker acts as an unprivileged agent or through a hijacked session (CVE-2022-45789, Schneider Electric Modicon \cite{cve202245789}). The identity triple closes this class, which every access control model already addresses."
9,,176,III-B Attack cls,4,Wordy subject,"\textbf{Unsafe-state operation.} The attacker, or a confused legitimate client, issues an otherwise well-formed command while the platform is in a state that makes the command hazardous: battery low, maintenance mode, calibration required (CVE-2022-33323, Mitsubishi MELFA \cite{cve202233323}). Identity-based authorization admits this class because the request is legitimate on every identity axis.","\textbf{Unsafe-state operation.} A malicious or confused client issues a well-formed command while the platform is in a state that makes it hazardous: battery low, maintenance mode, calibration required (CVE-2022-33323, Mitsubishi MELFA \cite{cve202233323}). Identity-based authorization admits this class because the request is legitimate on every identity axis."
10,,178,III-B Attack cls,7,FIX: punchline landed after the digression,"\textbf{Command provenance abuse.} The attacker holds valid DDS credentials for an authorized subject but is not an entitled source type for the command it issues (CVE-2021-38425, eProsima Fast DDS \cite{cve202138425}). SROS2 and DDS-Security authenticate who a node is at the transport layer \cite{mayoralvilches2022sros2, omgddssec}. They never ask whether that source type may issue that command to that resource. Further, the transport layer's own access control is fragile: Deng et al.\ demonstrated four ways a credentialed insider bypasses SROS2 permissions and keeps publishing \cite{deng2022insecurity}. That is an application-layer question, and it is invisible at the transport layer by design.","\textbf{Command provenance abuse.} The attacker holds valid DDS credentials for an authorized subject but is not an entitled source type for the command it issues (CVE-2021-38425, eProsima Fast DDS \cite{cve202138425}). SROS2 and DDS-Security authenticate who a node is at the transport layer \cite{mayoralvilches2022sros2, omgddssec}, but never ask whether that source type may issue that command to that resource. That question is invisible below the application layer by design. Further, transport access control is itself fragile: Deng et al.\ demonstrated four ways a credentialed insider bypasses SROS2 permissions and keeps publishing \cite{deng2022insecurity}."
